Index,Course Code,Max Vcc
00134,BU8101,50
00135,BU8101,50
00136,BU8101,50
00307,BU8201,50
00308,BU8201,50
00309,BU8201,50
00388,BU8301,50
00389,BU8301,50
00390,BU8301,50
00604,BU8401,50
00605,BU8401,50
00606,BU8401,50
00715,BU8501,50
00716,BU8501,50
00717,BU8501,50
00901,BU8601,50
00902,BU8601,50
00903,BU8601,50
10001,CE1103,50
10002,CE1103,50
10005,CE1105,50
10006,CE1105,50
10008,CE1105,50
10009,CE1106,50
10013,CE1011,50
10015,CE1012,50
10017,CE1113,50
10018,CE1113,50
10130,CZ1103,50
10132,CZ1103,50
10146,CZ1105,50
10147,CZ1105,50
10148,CZ1105,50
10161,CZ1106,50
10164,CZ1011,50
10166,CZ1012,50
10168,CZ1113,50
10169,CZ1113,50
10170,CZ1113,50
10322,CE1106,50
10430,CE1107,50
10431,CZ1107,50
10432,CZ1107,50
10453,CE1106,50
10455,CZ1106,50
10499,CE1104,50
10500,CE1104,50
10501,CE1104,50
10504,CZ1104,50
10505,CZ1104,50
10508,CZ1104,50
13802,CE1103,50
13804,CE1103,50
13808,CE1113,50
13824,CZ1103,50
32073,EE1002,50
32076,EE1002,50
32077,EE1002,50
32081,EE1003,50
32083,EE1003,50
32084,EE1003,50
32091,EE1005,50
32092,EE1005,50
32093,EE1005,50
32094,EE1005,50
